,target,prediction,class_0_prob,class_1_prob,gender
43348,0,0,0.9910914756828807,0.008908524317119339,Female
6994,1,1,0.1048269775737446,0.8951730224262554,Male
3150,0,0,0.8608305684331927,0.1391694315668073,Male
33401,0,0,0.804577340913061,0.195422659086939,Male
8784,0,0,0.988979038978217,0.01102096102178295,Male
35387,1,0,0.5861198060121122,0.4138801939878878,Male
4057,0,0,0.984190286764896,0.015809713235104036,Female
12051,0,0,0.9210325689296894,0.07896743107031057,Male
12865,0,1,0.27698099998809633,0.7230190000119037,Female
46960,0,0,0.9582198344108752,0.041780165589124806,Female
35248,0,0,0.9865129849113049,0.01348701508869514,Female
4128,0,0,0.9804734242800418,0.019526575719958174,Female
16399,0,0,0.999258455823532,0.0007415441764680404,Female
6434,0,0,0.9509757896717087,0.04902421032829127,Female
8034,0,0,0.8800543527291906,0.11994564727080939,Male
7708,0,0,0.8557911270285079,0.14420887297149212,Female
18647,0,0,0.808714883505557,0.19128511649444305,Male
21216,1,1,0.32862687992021833,0.6713731200797817,Male
30994,0,1,0.15297242987997106,0.8470275701200289,Female
43754,0,1,0.30595325844240806,0.6940467415575919,Male
43378,0,1,0.3924974540128384,0.6075025459871616,Male
43133,0,0,0.8078159913812075,0.1921840086187925,Male
9693,0,0,0.9751060147443411,0.024893985255658873,Female
43069,0,0,0.9988808621817699,0.0011191378182301213,Female
5265,0,0,0.9456048320093584,0.05439516799064159,Female
44873,0,0,0.991351487506176,0.008648512493824003,Male
4016,0,0,0.9904294835230635,0.009570516476936495,Male
43465,1,1,0.010000894076265476,0.9899991059237345,Male
24576,1,1,0.22719140748679645,0.7728085925132036,Male
27904,0,0,0.7129992927381734,0.2870007072618265,Male
29186,0,0,0.9966571039475318,0.0033428960524681355,Female
4831,0,0,0.9572330447715961,0.042766955228403875,Female
3467,0,0,0.9342172215411113,0.06578277845888872,Male
30371,0,0,0.989757595365074,0.010242404634926027,Male
8225,1,0,0.861316218095276,0.13868378190472402,Male
18397,0,0,0.9838402106525473,0.016159789347452623,Female
43698,0,0,0.9325866862410079,0.0674133137589921,Female
32185,1,1,0.32005623708825737,0.6799437629117426,Male
20363,1,0,0.5476079576282956,0.4523920423717044,Male
11601,0,0,0.9958511110223222,0.004148888977677845,Male
45062,0,0,0.9942849700325513,0.005715029967448638,Female
47101,0,1,0.40312954539716583,0.5968704546028342,Male
25882,1,0,0.653541265804103,0.346458734195897,Male
44383,0,0,0.776383178212517,0.22361682178748304,Male
38250,0,0,0.9730143953291167,0.026985604670883286,Male
20272,0,0,0.9615292840241287,0.03847071597587129,Female
10810,0,0,0.984914232579843,0.015085767420157041,Female
25056,0,0,0.9972723950072747,0.0027276049927252794,Female
45518,0,0,0.9962674133637611,0.00373258663623884,Male
5803,0,0,0.9922540720958863,0.007745927904113697,Male
3085,0,0,0.9962189701647383,0.0037810298352617447,Male
6056,0,0,0.9683226151668388,0.03167738483316118,Female
16077,0,0,0.8884019741135608,0.11159802588643918,Male
42296,0,0,0.8357489239304061,0.16425107606959383,Male
38188,1,0,0.5313471173576721,0.46865288264232785,Male
23692,0,0,0.9374641793077072,0.06253582069229284,Female
20416,0,0,0.9386111341582706,0.06138886584172942,Female
38656,0,0,0.9916055222068267,0.008394477793173313,Male
47670,1,0,0.6514226450312397,0.34857735496876024,Male
5568,1,1,0.18179896698327558,0.8182010330167244,Male
1406,0,0,0.9899501963755548,0.010049803624445235,Male
12736,0,0,0.8929478852059671,0.10705211479403288,Female
21546,0,0,0.9962824912158893,0.003717508784110683,Female
15039,0,0,0.7999653946508896,0.2000346053491105,Female
30571,1,1,0.47666140731743556,0.5233385926825644,Male
45771,0,0,0.8673763972324329,0.13262360276756716,Female
20495,0,0,0.996187231497841,0.0038127685021589995,Female
21628,0,0,0.9720436513802901,0.027956348619709897,Female
29627,1,0,0.9847682571008209,0.015231742899179009,Male
11778,0,0,0.9943287703344038,0.00567122966559618,Male
8171,0,0,0.9383078674864536,0.06169213251354648,Male
16392,0,0,0.6745341781310514,0.3254658218689485,Male
29108,0,0,0.9427402911259163,0.057259708874083756,Female
47176,0,0,0.7068441232539638,0.29315587674603616,Male
13182,0,0,0.8005923465885143,0.19940765341148572,Male
20818,0,0,0.7576407668168038,0.24235923318319622,Male
42906,0,1,0.1719261366484568,0.8280738633515432,Male
30243,0,0,0.907502126368243,0.09249787363175703,Male
46439,1,0,0.8765623393069684,0.1234376606930316,Male
2059,0,0,0.9972720826090757,0.0027279173909242316,Female
5598,0,0,0.9946334646973886,0.0053665353026114,Male
37304,0,0,0.9456876777366214,0.05431232226337855,Male
15257,1,0,0.7340570267682471,0.2659429732317529,Female
23974,0,0,0.887511690564935,0.11248830943506503,Male
30667,1,1,0.20176606171412848,0.7982339382858715,Male
3396,0,0,0.9059278677088232,0.09407213229117678,Female
37869,0,0,0.8224237427458574,0.17757625725414258,Male
47067,0,0,0.867556180459372,0.13244381954062798,Female
25725,1,0,0.8459978457520481,0.15400215424795194,Male
3714,1,0,0.6779614806451365,0.3220385193548635,Female
12313,0,0,0.8119201055924515,0.18807989440754846,Female
19376,0,0,0.9916169339601462,0.00838306603985387,Female
11014,0,0,0.8460295467450347,0.15397045325496533,Male
17280,0,0,0.9522601454656826,0.047739854534317346,Female
39054,0,0,0.9931518945267739,0.006848105473226152,Female
36650,1,1,0.2791779159128309,0.7208220840871691,Male
22975,0,0,0.7523515709692186,0.2476484290307814,Male
46571,0,1,0.058115883760715636,0.9418841162392844,Female
45039,0,0,0.9882741851277119,0.011725814872288132,Male
42511,0,0,0.6151716957555964,0.38482830424440356,Male
42053,0,0,0.9866871873405869,0.013312812659413106,Female
18747,0,0,0.99777728481657,0.002222715183430027,Male
19051,0,0,0.9916975145288264,0.008302485471173675,Female
31374,0,0,0.9979931407908049,0.002006859209195047,Male
35824,0,0,0.6323538395873931,0.3676461604126069,Male
30512,0,0,0.9415216553485048,0.058478344651495116,Male
11797,1,1,0.49164891752272843,0.5083510824772716,Male
36640,0,0,0.8330841624175679,0.16691583758243214,Male
36271,0,0,0.9835769459314688,0.016423054068531222,Male
21190,1,0,0.9069321681905651,0.09306783180943484,Female
31722,0,0,0.9972167309211322,0.002783269078867785,Female
13034,0,0,0.9777522782656795,0.022247721734320495,Female
29640,0,0,0.9337246867766646,0.06627531322333537,Male
18579,0,0,0.9934851924549339,0.006514807545066064,Female
18097,0,0,0.7240536657272132,0.27594633427278675,Male
20540,0,0,0.986710707509864,0.013289292490135973,Female
42945,1,0,0.5369536434767448,0.46304635652325526,Male
3541,0,0,0.8367623521067018,0.16323764789329817,Male
5692,0,0,0.9982517670289197,0.001748232971080266,Female
12457,0,0,0.9818710640845363,0.018128935915463745,Male
4,0,1,0.41533858166605153,0.5846614183339485,Female
28348,1,1,0.1090827756833439,0.8909172243166561,Male
26419,1,1,0.495003010688402,0.504996989311598,Male
29598,0,0,0.9762413958024226,0.023758604197577356,Male
44275,0,0,0.7558774046287837,0.24412259537121625,Male
28244,1,1,0.19028976842751444,0.8097102315724856,Male
20964,1,1,0.24901024306083264,0.7509897569391674,Male
2984,0,0,0.980712198942994,0.019287801057006008,Female
31295,1,1,0.15324775102201782,0.8467522489779822,Female
27436,0,0,0.9153420698700673,0.08465793012993274,Female
45197,1,1,0.05858236458460675,0.9414176354153933,Female
38864,0,0,0.9997324599015547,0.00026754009844531156,Female
23848,0,0,0.984036728890287,0.015963271109713004,Female
21812,0,0,0.9740131847750926,0.025986815224907433,Female
47146,0,0,0.8308898464464801,0.16911015355351985,Female
38704,0,1,0.42199064339713677,0.5780093566028632,Male
40051,0,0,0.7051928481612517,0.29480715183874834,Male
47157,0,0,0.8053355951699106,0.19466440483008945,Male
5545,0,0,0.9907735611317741,0.009226438868225932,Male
45204,0,0,0.9682936850568787,0.03170631494312131,Female
3221,0,0,0.5849783352376365,0.41502166476236346,Male
47479,1,0,0.7497029400908122,0.25029705990918777,Male
25726,0,0,0.9970747785360978,0.0029252214639021537,Female
34580,0,0,0.9961248970259319,0.003875102974068079,Male
41797,0,0,0.9942486838225647,0.005751316177435309,Male
3211,0,0,0.9928427010923272,0.007157298907672781,Male
33627,0,1,0.28958848387088065,0.7104115161291193,Male
20211,0,0,0.775499662076869,0.22450033792313095,Male
27522,0,0,0.9973883488022686,0.0026116511977314328,Male
16162,0,0,0.9497692446764261,0.05023075532357389,Male
28473,0,0,0.9650475744489392,0.034952425551060796,Male
9501,0,0,0.5234479918183546,0.4765520081816455,Male
11494,1,0,0.5160926916484421,0.4839073083515579,Male
14971,0,0,0.8609190028574302,0.1390809971425698,Male
5711,1,0,0.7435649972328215,0.25643500276717845,Male
11742,0,0,0.9963958177968075,0.0036041822031924655,Male
6682,0,0,0.91481740306697,0.08518259693303003,Male
4850,1,0,0.7485946368037939,0.25140536319620616,Male
48142,0,0,0.7876953091070849,0.21230469089291518,Male
30975,1,1,0.06437068779252353,0.9356293122074765,Male
10758,0,0,0.5201302774488761,0.479869722551124,Female
3519,0,0,0.987620625476953,0.012379374523047002,Female
26046,0,0,0.9460570682220357,0.05394293177796423,Female
36967,1,1,0.19760075018595413,0.8023992498140459,Female
31905,0,0,0.9982514754082786,0.001748524591721314,Male
44862,0,0,0.9862706576940534,0.013729342305946617,Female
36473,0,0,0.9782835428137233,0.021716457186276735,Female
465,0,0,0.5596856707231197,0.44031432927688036,Female
38323,0,0,0.984337636087736,0.01566236391226408,Female
41693,0,0,0.7867598694255165,0.21324013057448357,Male
37616,0,1,0.2059578727233684,0.7940421272766316,Male
12203,0,0,0.978720703812883,0.021279296187116947,Female
17692,1,1,0.3192208922472093,0.6807791077527907,Male
22019,0,0,0.9918055399858794,0.008194460014120606,Male
10852,0,0,0.9849117850095641,0.01508821499043584,Female
7984,1,1,0.1083343462381462,0.8916656537618538,Male
13040,1,0,0.7753516945767687,0.2246483054232313,Male
44933,0,1,0.1854386996374463,0.8145613003625537,Male
42010,1,1,0.136217340153714,0.863782659846286,Female
17447,0,0,0.9949044008838462,0.005095599116153768,Male
12653,0,0,0.9893619005397462,0.010638099460253802,Male
33221,1,1,0.41722023949199727,0.5827797605080027,Female
20185,0,0,0.9394228615583311,0.060577138441668926,Female
35148,0,0,0.9461443860854577,0.053855613914542286,Female
34115,0,0,0.9947678052841123,0.005232194715887703,Female
11947,0,0,0.9868173213705762,0.013182678629423792,Female
12223,0,0,0.998877571284526,0.0011224287154739429,Female
33838,1,0,0.6742479692388689,0.32575203076113113,Male
17370,1,0,0.7567011061843378,0.24329889381566222,Male
10986,1,1,0.11249810842941399,0.887501891570586,Male
7029,1,1,0.010500449195842698,0.9894995508041573,Male
39853,0,0,0.8446616313092443,0.1553383686907557,Male
43761,0,0,0.627285660524058,0.372714339475942,Male
5407,1,0,0.9515246252955687,0.048475374704431334,Female
45412,0,0,0.9047404517339529,0.09525954826604709,Female
5707,0,1,0.3587441984045785,0.6412558015954215,Male
36399,0,0,0.9924796112539579,0.007520388746042117,Male
33029,0,0,0.8392431323575725,0.1607568676424275,Male
19949,0,0,0.6455375511005874,0.35446244889941253,Male
16948,0,0,0.8090739914376522,0.19092600856234776,Female
17345,0,1,0.38446609436847035,0.6155339056315297,Female
31606,0,0,0.9650423991665995,0.03495760083340049,Male
8919,1,1,0.38581747723999105,0.614182522760009,Male
13709,0,0,0.5560539227504886,0.44394607724951146,Male
8180,0,0,0.8705711329338645,0.12942886706613557,Female
8489,0,0,0.9096681033193484,0.0903318966806516,Male
44370,0,0,0.9694354126055111,0.030564587394488828,Male
11461,0,0,0.6151716957555964,0.38482830424440356,Male
38296,0,0,0.9970783150871199,0.002921684912880095,Male
14068,0,0,0.8895010244411405,0.11049897555885946,Female
46435,1,0,0.6218894672449424,0.3781105327550576,Male
44004,1,1,0.19617686882290541,0.8038231311770946,Female
43007,1,0,0.846387547022533,0.15361245297746692,Female
25588,0,0,0.9955325371603153,0.00446746283968465,Male
35339,0,0,0.9232478003530986,0.07675219964690136,Male
40048,0,0,0.6246589939744045,0.37534100602559556,Male
25132,0,0,0.9268559569631678,0.07314404303683218,Female
31874,0,0,0.99103316709421,0.008966832905790062,Female
26800,0,0,0.6694553107017083,0.3305446892982918,Male
20196,0,0,0.8984900712981716,0.10150992870182846,Female
35859,1,1,0.0222351633689426,0.9777648366310574,Female
21844,0,0,0.9953959590001938,0.004604040999806167,Female
42424,1,1,0.3315518118918843,0.6684481881081157,Male
20019,0,0,0.5065893429851949,0.4934106570148052,Male
29880,0,0,0.5687570856524067,0.4312429143475934,Male
10146,0,0,0.7867598694255165,0.21324013057448357,Male
31974,0,1,0.419337249360655,0.580662750639345,Male
23643,0,0,0.9864359092676059,0.013564090732394011,Female
2579,0,0,0.8154909227286573,0.18450907727134264,Male
32526,0,0,0.9079768908408017,0.09202310915919835,Male
1599,0,0,0.8902161989364549,0.10978380106354517,Male
17933,0,0,0.9361071193452876,0.06389288065471244,Male
27320,0,0,0.9954251528073645,0.004574847192635412,Female
23269,0,0,0.896836233572452,0.10316376642754804,Female
30006,1,1,0.12574807242563413,0.8742519275743659,Male
14981,0,1,0.4698011229586604,0.5301988770413396,Male
40602,0,0,0.9960217004424786,0.003978299557521362,Male
40687,0,0,0.988129316768474,0.01187068323152596,Female
29502,0,0,0.9527748942618661,0.047225105738133856,Female
30912,0,1,0.1374767946234079,0.8625232053765921,Female
4215,1,0,0.6619605358345249,0.3380394641654751,Female
41363,0,0,0.7061027664455877,0.2938972335544123,Male
12144,0,0,0.9355236438978839,0.06447635610211609,Female
9598,0,0,0.990579132491579,0.009420867508420975,Male
34399,1,1,0.3999735604853848,0.6000264395146152,Male
40740,0,0,0.836029484573747,0.16397051542625293,Female
14871,1,0,0.7985500045600803,0.20144999543991968,Male
19075,1,0,0.5636355269462331,0.4363644730537669,Male
4252,0,0,0.9268804960570168,0.0731195039429832,Male
39168,0,0,0.9479316770025503,0.05206832299744966,Male
9317,0,0,0.9842606335293154,0.01573936647068461,Male
14825,0,0,0.9282852906919105,0.07171470930808953,Male
17016,0,0,0.615574845574423,0.384425154425577,Female
32310,0,0,0.995305708436033,0.004694291563966971,Male
37536,0,0,0.9827796669450108,0.017220333054989198,Female
41369,0,0,0.978720703812883,0.021279296187116947,Female
24271,1,0,0.9750761507247885,0.02492384927521154,Male
41393,0,0,0.9885814110033045,0.011418588996695456,Male
13857,0,0,0.7002406720458862,0.2997593279541138,Male
12969,0,0,0.9643300915824216,0.035669908417578416,Male
43856,1,0,0.6514811931306608,0.34851880686933917,Male
45678,1,1,0.32325951618162074,0.6767404838183793,Female
7096,0,0,0.7272160583613758,0.27278394163862413,Male
48188,0,0,0.9981910450104605,0.0018089549895394874,Male
18115,0,0,0.8356925606925345,0.16430743930746547,Male
30172,0,0,0.8212147163603863,0.17878528363961363,Male
44284,0,0,0.9628541458674542,0.03714585413254579,Male
332,0,0,0.9690308370373073,0.030969162962692705,Male
19185,0,0,0.89346500312675,0.10653499687324997,Female
9167,0,0,0.9704893404162861,0.029510659583713943,Male
27722,1,1,0.0030014559850906064,0.9969985440149094,Male
11348,0,0,0.9888571886047903,0.011142811395209623,Male
30281,0,0,0.7169576960194046,0.28304230398059543,Male
37602,1,1,4.263256414560601e-14,0.9999999999999574,Male
34883,0,0,0.948817446030146,0.05118255396985406,Female
43888,0,0,0.989489941943251,0.01051005805674903,Male
31863,0,1,0.42714838321219395,0.572851616787806,Male
16729,1,1,0.48390042291971946,0.5160995770802805,Male
1232,0,0,0.9643111871052306,0.035688812894769474,Female
29436,0,0,0.9952587375250808,0.004741262474919183,Male
32213,0,0,0.9724744414821783,0.02752555851782163,Female
32838,0,0,0.9985937016285449,0.0014062983714551614,Male
4519,0,0,0.96598277402788,0.03401722597211994,Male
24637,0,0,0.9903623677054014,0.009637632294598537,Male
25089,0,1,0.38902809853860465,0.6109719014613954,Male
48809,0,0,0.9808303115007274,0.019169688499272572,Male
6943,0,0,0.7824497938972647,0.21755020610273534,Female
25922,0,0,0.9852074946544912,0.014792505345508761,Male
40900,1,1,0.4673690814984528,0.5326309185015472,Male
5567,0,0,0.9609638462658044,0.03903615373419553,Male
17901,1,1,0.2743937274674678,0.7256062725325322,Male
35762,0,0,0.8932913705019435,0.10670862949805651,Female
45411,0,0,0.9799395628092759,0.020060437190724145,Female
19685,0,0,0.8778139925772253,0.1221860074227747,Male
24971,0,0,0.9235072370808204,0.07649276291917965,Male
25384,0,0,0.9957640266554446,0.004235973344555344,Male
27583,0,0,0.9741398386522997,0.025860161347700302,Male
44837,0,0,0.8763819083196577,0.12361809168034235,Male
45727,0,0,0.6979124296718008,0.3020875703281992,Male
42314,0,0,0.9927599253448113,0.007240074655188707,Female
28423,0,1,0.4135715089340235,0.5864284910659765,Male
12208,1,0,0.5209032237856297,0.47909677621437025,Male
28709,0,0,0.9956360343445637,0.004363965655436311,Female
7515,0,0,0.9821246453455893,0.017875354654410657,Male
20318,0,0,0.6914278541851338,0.3085721458148663,Male
31255,0,0,0.8939933710764353,0.1060066289235647,Male
19658,0,0,0.7929860455864147,0.2070139544135853,Male
27943,0,0,0.9939920232495271,0.0060079767504729415,Female
33993,0,0,0.9857809789113371,0.01421902108866293,Male
42299,0,0,0.9973775579826779,0.0026224420173221403,Male
16181,0,0,0.8364330865668131,0.16356691343318683,Male
15035,1,1,0.01922439843879853,0.9807756015612015,Male
21735,1,1,0.4161453767060468,0.5838546232939532,Male
21049,0,0,0.9384739264134299,0.061526073586570196,Male
28626,1,1,0.037530173739882544,0.9624698262601175,Male
30736,1,1,0.01684610326590763,0.9831538967340924,Male
12936,0,0,0.984911335638394,0.01508866436160605,Female
38336,0,0,0.9629396224942185,0.03706037750578146,Male
7893,1,0,0.618012460076253,0.381987539923747,Male
12564,1,0,0.9517986089660503,0.04820139103394968,Male
14000,1,1,0.04401465153702233,0.9559853484629777,Male
7134,1,1,0.40163607380112265,0.5983639261988773,Male
44840,1,1,0.027106654335899538,0.9728933456641005,Male
35003,0,0,0.8732642389904921,0.12673576100950795,Male
14339,0,0,0.948432950528347,0.05156704947165303,Male
9189,0,0,0.6775570622269893,0.3224429377730107,Male
40796,0,0,0.9791793388278586,0.020820661172141423,Female
12400,0,0,0.9804233236362734,0.019576676363726647,Female
39843,0,0,0.9798944736155387,0.020105526384461322,Female
21581,0,0,0.9732917089206904,0.02670829107930966,Female
664,0,0,0.9896135540157713,0.010386445984228714,Female
25166,0,1,0.495003010688402,0.504996989311598,Male
27019,0,0,0.9954081081967354,0.00459189180326455,Female
17593,0,0,0.9171318450961061,0.08286815490389389,Male
42039,0,0,0.9953959590001938,0.004604040999806167,Female
48811,1,1,0.4969958595576004,0.5030041404423996,Male
13506,1,0,0.7003323060410758,0.29966769395892423,Male
17867,1,1,0.2683835506054417,0.7316164493945583,Male
28895,1,0,0.6355417081494685,0.3644582918505314,Male
5712,1,0,0.7158636930717712,0.2841363069282287,Male
5011,0,0,0.9968172440133878,0.003182755986612192,Male
5503,0,0,0.9868959814207803,0.013104018579219745,Male
44057,0,0,0.7126170950968354,0.2873829049031647,Male
42114,0,0,0.8961073387221037,0.10389266127789634,Male
43460,0,0,0.9853118313049261,0.014688168695073951,Male
47427,0,0,0.9944727285001159,0.005527271499884056,Male
37039,1,1,0.398643808052372,0.601356191947628,Male
45127,0,0,0.9817032858756282,0.018296714124371873,Female
22882,1,1,0.23172582098672823,0.7682741790132718,Male
47793,0,0,0.9615642851491949,0.0384357148508051,Female
15466,1,1,0.27932697239630777,0.7206730276036922,Male
47722,0,0,0.9888829795095476,0.011117020490452427,Female
28486,0,0,0.7153003313551399,0.28469966864486007,Male
1566,0,0,0.8992579862088568,0.10074201379114325,Male
44828,1,1,0.2946473564805443,0.7053526435194557,Male
14518,1,1,0.051681361392423186,0.9483186386075768,Male
23918,0,0,0.940293928237925,0.05970607176207494,Female
48374,0,1,0.4003092035010479,0.5996907964989521,Male
18597,1,0,0.5389353439870903,0.46106465601290975,Male
45613,0,0,0.9896605000185323,0.010339499981467623,Male
5931,1,0,0.5473954600146942,0.4526045399853058,Female
35881,0,0,0.830678862022799,0.16932113797720102,Male
48693,0,0,0.9975410031106172,0.002458996889382817,Male
2710,1,1,0.4921386399267197,0.5078613600732803,Male
39034,0,0,0.996992295868393,0.003007704131606979,Female
31651,0,0,0.5679393563175547,0.43206064368244534,Male
3168,1,1,0.20207871004480815,0.7979212899551918,Male
44977,1,0,0.5654092322352902,0.4345907677647099,Male
41402,0,0,0.9253303143859195,0.07466968561408047,Male
5946,0,1,0.4885736916464428,0.5114263083535572,Male
6658,1,0,0.6528815888600454,0.3471184111399545,Male
33772,1,0,0.6125411165157406,0.3874588834842594,Male
36293,0,0,0.6901714552700504,0.3098285447299496,Female
32710,0,0,0.955294437185058,0.044705562814941986,Male
40017,0,0,0.9979329151849043,0.0020670848150956,Female
35174,0,0,0.9991355866324413,0.0008644133675586835,Female
2902,0,0,0.8444645063660134,0.1555354936339866,Male
3366,0,0,0.8896216004562104,0.11037839954378963,Male
37026,1,1,0.2884336421879272,0.7115663578120728,Male
26388,0,1,0.4928747931262446,0.5071252068737554,Male
19387,1,0,0.7585355412674317,0.24146445873256833,Male
14617,1,1,0.09051547716007413,0.9094845228399259,Male
42939,1,0,0.7093455119112064,0.2906544880887936,Male
23014,0,0,0.9734500383515654,0.026549961648434543,Male
14182,0,0,0.6275409483466127,0.37245905165338733,Female
35718,0,0,0.996248575163887,0.0037514248361130704,Female
28326,0,0,0.8400179755162515,0.15998202448374851,Female
21247,0,0,0.593609800776661,0.4063901992233389,Male
34154,0,0,0.8870457639852259,0.11295423601477406,Male
38543,0,0,0.8644690500054704,0.1355309499945297,Male
20909,0,0,0.9380215424411186,0.06197845755888144,Female
38399,0,1,0.2642200570091695,0.7357799429908305,Male
28269,0,0,0.9535726072718042,0.04642739272819588,Male
45097,0,0,0.9614476264474218,0.03855237355257828,Male
39968,0,0,0.9731912974413455,0.02680870255865455,Male
